Universidad,Carrera,Cuatrimestre,Periodo,Materia
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,3,Cuatrimestre 3,Geografía Económica Internacional
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,3,Cuatrimestre 3,Inglés III
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,3,Cuatrimestre 3,Legislación Aplicada a los Negocios
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,3,Cuatrimestre 3,Proyecto Integrador I
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,4,Cuatrimestre 4,Clasificación Arancelaria II
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,4,Cuatrimestre 4,Financiamiento y Formas de Pago Internacional
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,4,Cuatrimestre 4,Infracciones y Sanciones
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,4,Cuatrimestre 4,Inglés IV
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,4,Cuatrimestre 4,Introducción a Pedimentos
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,4,Cuatrimestre 4,Tecnologías Aplicadas al Proceso de Importación y Exportación
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,4,Cuatrimestre 4,Ética Profesional
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,5,Cuatrimestre 5,Clasificación Arancelaria III
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,5,Cuatrimestre 5,Inglés V
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,5,Cuatrimestre 5,Introducción a Procedimientos y Trámites Aduanales
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,5,Cuatrimestre 5,Liderazgo de Equipos de Alto Desempeño
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,5,Cuatrimestre 5,Medios de Defensa
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,5,Cuatrimestre 5,Programas de Fomento a la Exportación
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,5,Cuatrimestre 5,Proyecto Integrador II
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,6,VI (Estadía TSU),P.E. Control Presupuestal
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,6,VI (Estadía TSU),P.E. Derecho Internacional
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,6,VI (Estadía TSU),P.E. Financiamiento y Formas de Pago Internacional
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,6,VI (Estadía TSU),P.E. Introducción a la Logística
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,6,VI (Estadía TSU),P.E. Política Monetaria
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,6,VI (Estadía TSU),P.E. Ética Profesional
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,7,Cuatrimestre 7,Comercio Sostenible
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,7,Cuatrimestre 7,Derecho Internacional
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,7,Cuatrimestre 7,Envase y Embalaje
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,7,Cuatrimestre 7,Habilidades Gerenciales
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,7,Cuatrimestre 7,Inglés VI
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,7,Cuatrimestre 7,Investigación de Operaciones
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,7,Cuatrimestre 7,Logística Internacional
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,8,Cuatrimestre 8,Ecosistemas Digitales Comerciales
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,8,Cuatrimestre 8,Evaluación de Proyectos
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,8,Cuatrimestre 8,Inglés VII
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,8,Cuatrimestre 8,Multiculturalidad y Protocolo de Negocios
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,8,Cuatrimestre 8,Organismos de Apoyo al Comercio Exterior
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,8,Cuatrimestre 8,Pedimentos y Legislación Aduanera
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,8,Cuatrimestre 8,Tratados y Acuerdos Comerciales Internacionales
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,9,Cuatrimestre 9,Desarrollo Emprendedor y Consultoría
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,9,Cuatrimestre 9,Estrategias de Negociación Internacional
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,9,Cuatrimestre 9,Inglés VIII
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,9,Cuatrimestre 9,Pedimentos y Legislación Aduanera II
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,9,Cuatrimestre 9,Plan de Negocios de Exportación
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,9,Cuatrimestre 9,Procedimientos y Trámites Aduanales
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,9,Cuatrimestre 9,Proyecto Integrador III
UP Victoria - Universidad Politécnica,Lic. En Comercio Int. Y Aduanas,10,X (Estadía Ingeniería),ESTADÍA
UT Altamira,Ing. En Energía Y Des. Sostenible,1,Cuatrimestre 1,Comunicación y Habilidades Digitales
UT Altamira,Ing. En Energía Y Des. Sostenible,1,Cuatrimestre 1,Desarrollo Humano y Valores
UT Altamira,Ing. En Energía Y Des. Sostenible,1,Cuatrimestre 1,Dibujo Asistido por Computadora
UT Altamira,Ing. En Energía Y Des. Sostenible,1,Cuatrimestre 1,Energía y Desarrollo Sostenible
UT Altamira,Ing. En Energía Y Des. Sostenible,1,Cuatrimestre 1,Fundamentos Matemáticos
UT Altamira,Ing. En Energía Y Des. Sostenible,1,Cuatrimestre 1,Física
UT Altamira,Ing. En Energía Y Des. Sostenible,1,Cuatrimestre 1,Inglés I
UT Altamira,Ing. En Energía Y Des. Sostenible,2,Cuatrimestre 2,Circuitos Eléctricos
UT Altamira,Ing. En Energía Y Des. Sostenible,2,Cuatrimestre 2,Cálculo Diferencial
UT Altamira,Ing. En Energía Y Des. Sostenible,2,Cuatrimestre 2,Diagnósticos Energéticos
UT Altamira,Ing. En Energía Y Des. Sostenible,2,Cuatrimestre 2,Habilidades Socioemocionales y Manejo de Conflictos
UT Altamira,Ing. En Energía Y Des. Sostenible,2,Cuatrimestre 2,Inglés II
UT Altamira,Ing. En Energía Y Des. Sostenible,2,Cuatrimestre 2,Probabilidad y Estadística
UT Altamira,Ing. En Energía Y Des. Sostenible,2,Cuatrimestre 2,Seguridad y Medio Ambiente
UT Altamira,Ing. En Energía Y Des. Sostenible,3,Cuatrimestre 3,Cálculo Integral
UT Altamira,Ing. En Energía Y Des. Sostenible,3,Cuatrimestre 3,Desarrollo del Pensamiento y Toma de Decisiones
UT Altamira,Ing. En Energía Y Des. Sostenible,3,Cuatrimestre 3,Electrónica Industrial
UT Altamira,Ing. En Energía Y Des. Sostenible,3,Cuatrimestre 3,Inglés III
UT Altamira,Ing. En Energía Y Des. Sostenible,3,Cuatrimestre 3,Instalaciones Eléctricas Industriales
UT Altamira,Ing. En Energía Y Des. Sostenible,3,Cuatrimestre 3,Proyecto Integrador I
UT Altamira,Ing. En Energía Y Des. Sostenible,3,Cuatrimestre 3,Temas Selectos de Química
UT Altamira,Ing. En Energía Y Des. Sostenible,4,Cuatrimestre 4,Cálculo de Varias Variables
UT Altamira,Ing. En Energía Y Des. Sostenible,4,Cuatrimestre 4,Gestión del Mantenimiento
UT Altamira,Ing. En Energía Y Des. Sostenible,4,Cuatrimestre 4,Inglés IV
UT Altamira,Ing. En Energía Y Des. Sostenible,4,Cuatrimestre 4,Introducción a los Sistemas Geotérmicos y Fuerza Mareomotriz
UT Altamira,Ing. En Energía Y Des. Sostenible,4,Cuatrimestre 4,Metrología
UT Altamira,Ing. En Energía Y Des. Sostenible,4,Cuatrimestre 4,Temas Selectos de Termodinámica y Transferencia de Energía
UT Altamira,Ing. En Energía Y Des. Sostenible,4,Cuatrimestre 4,Ética Profesional
UT Altamira,Ing. En Energía Y Des. Sostenible,5,Cuatrimestre 5,Aerogeneradores
UT Altamira,Ing. En Energía Y Des. Sostenible,5,Cuatrimestre 5,Ecuaciones Diferenciales
UT Altamira,Ing. En Energía Y Des. Sostenible,5,Cuatrimestre 5,Inglés V
UT Altamira,Ing. En Energía Y Des. Sostenible,5,Cuatrimestre 5,Liderazgo de Equipos de Alto Desempeño
UT Altamira,Ing. En Energía Y Des. Sostenible,5,Cuatrimestre 5,Mantenimiento a Sistemas de Turbogeneración
UT Altamira,Ing. En Energía Y Des. Sostenible,5,Cuatrimestre 5,Máquinas Eléctricas
UT Altamira,Ing. En Energía Y Des. Sostenible,5,Cuatrimestre 5,Proyecto Integrador II
UT Altamira,Ing. En Energía Y Des. Sostenible,6,VI (Estadía TSU),ESTADÍA TSU EN TURBO ENERGÍA
UT Altamira,Ing. En Energía Y Des. Sostenible,7,Cuatrimestre 7,Electroquímica
UT Altamira,Ing. En Energía Y Des. Sostenible,7,Cuatrimestre 7,Habilidades Gerenciales
UT Altamira,Ing. En Energía Y Des. Sostenible,7,Cuatrimestre 7,Ingeniería de Equipos y Sistemas Industriales
UT Altamira,Ing. En Energía Y Des. Sostenible,7,Cuatrimestre 7,Inglés VI
UT Altamira,Ing. En Energía Y Des. Sostenible,7,Cuatrimestre 7,Introducción a las Redes Eléctricas Inteligentes
UT Altamira,Ing. En Energía Y Des. Sostenible,7,Cuatrimestre 7,Sistemas de Adquisición de Datos
UT Altamira,Ing. En Energía Y Des. Sostenible,7,Cuatrimestre 7,Temas Selectos de Física
UT Altamira,Ing. En Energía Y Des. Sostenible,8,Cuatrimestre 8,Almacenamiento de Energía
UT Altamira,Ing. En Energía Y Des. Sostenible,8,Cuatrimestre 8,Arquitectura Bioclimática
UT Altamira,Ing. En Energía Y Des. Sostenible,8,Cuatrimestre 8,Hidrógeno y Celdas de Combustibles
UT Altamira,Ing. En Energía Y Des. Sostenible,8,Cuatrimestre 8,Ingeniería de la Biomasa
UT Altamira,Ing. En Energía Y Des. Sostenible,8,Cuatrimestre 8,Inglés VII
UT Altamira,Ing. En Energía Y Des. Sostenible,8,Cuatrimestre 8,Normatividad y Sustentabilidad Energética
UT Altamira,Ing. En Energía Y Des. Sostenible,8,Cuatrimestre 8,Sistemas de Generación Distribuidos
UT Altamira,Ing. En Energía Y Des. Sostenible,9,Cuatrimestre 9,Diseño de Proyectos Eólicos
UT Altamira,Ing. En Energía Y Des. Sostenible,9,Cuatrimestre 9,Diseño de Proyectos Fotovoltaicos
UT Altamira,Ing. En Energía Y Des. Sostenible,9,Cuatrimestre 9,Eficiencia Energética
UT Altamira,Ing. En Energía Y Des. Sostenible,9,Cuatrimestre 9,Ingeniería Económica
UT Altamira,Ing. En Energía Y Des. Sostenible,9,Cuatrimestre 9,Inglés VIII
UT Altamira,Ing. En Energía Y Des. Sostenible,9,Cuatrimestre 9,Modelado y Simulación de Sistemas en Energías Renovables
UT Altamira,Ing. En Energía Y Des. Sostenible,9,Cuatrimestre 9,Proyecto Integrador III
UT Altamira,Ing. En Energía Y Des. Sostenible,10,X (Estadía Ingeniería),ESTADÍA LICENCIATURA EN INGENIERÍA EN ENERGÍA Y DESARROLLO SOSTENIBLE
UT Altamira,Ing. En Logística,1,Cuatrimestre 1,Administración y Principios de Economía
UT Altamira,Ing. En Logística,1,Cuatrimestre 1,Comunicación y Habilidades Digitales
UT Altamira,Ing. En Logística,1,Cuatrimestre 1,Desarrollo Humano y Valores
UT Altamira,Ing. En Logística,1,Cuatrimestre 1,Fundamentos Matemáticos
UT Altamira,Ing. En Logística,1,Cuatrimestre 1,Fundamentos de la Cadena de Suministros
UT Altamira,Ing. En Logística,1,Cuatrimestre 1,Inglés I
UT Altamira,Ing. En Logística,1,Cuatrimestre 1,Probabilidad y Estadística
UT Altamira,Ing. En Logística,2,Cuatrimestre 2,Cálculo Diferencial
UT Altamira,Ing. En Logística,2,Cuatrimestre 2,Física
UT Altamira,Ing. En Logística,2,Cuatrimestre 2,Gestión de Almacén
UT Altamira,Ing. En Logística,2,Cuatrimestre 2,Habilidades Socioemocionales y Manejo de Conflictos
UT Altamira,Ing. En Logística,2,Cuatrimestre 2,Inglés II
UT Altamira,Ing. En Logística,2,Cuatrimestre 2,Logística de Abastecimiento
UT Altamira,Ing. En Logística,2,Cuatrimestre 2,Marco Regulatorio del Comercio Internacional
UT Altamira,Ing. En Logística,3,Cuatrimestre 3,Calidad en la Cadena de Suministros
UT Altamira,Ing. En Logística,3,Cuatrimestre 3,Costos y Presupuestos Logísticos
UT Altamira,Ing. En Logística,3,Cuatrimestre 3,Cálculo Integral
UT Altamira,Ing. En Logística,3,Cuatrimestre 3,Desarrollo del Pensamiento y Toma de Decisiones
UT Altamira,Ing. En Logística,3,Cuatrimestre 3,Inglés III
UT Altamira,Ing. En Logística,3,Cuatrimestre 3,Proyecto Integrador I
UT Altamira,Ing. En Logística,3,Cuatrimestre 3,Tráfico y Sistemas de Transporte
UT Altamira,Ing. En Logística,4,Cuatrimestre 4,Administración de Materiales de Producción
UT Altamira,Ing. En Logística,4,Cuatrimestre 4,Administración y Control de Inventarios
UT Altamira,Ing. En Logística,4,Cuatrimestre 4,Cálculo de Varias Variables
UT Altamira,Ing. En Logística,4,Cuatrimestre 4,Geografía e Infraestructura Logística
UT Altamira,Ing. En Logística,4,Cuatrimestre 4,Inglés IV
UT Altamira,Ing. En Logística,4,Cuatrimestre 4,Pronósticos en la Cadena de Suministros
UT Altamira,Ing. En Logística,4,Cuatrimestre 4,Ética Profesional
UT Altamira,Ing. En Logística,5,Cuatrimestre 5,Ecuaciones Diferenciales
UT Altamira,Ing. En Logística,5,Cuatrimestre 5,Gestión de la Cadena de Suministro
UT Altamira,Ing. En Logística,5,Cuatrimestre 5,Inglés V
UT Altamira,Ing. En Logística,5,Cuatrimestre 5,Liderazgo de Equipos de Alto Desempeño
UT Altamira,Ing. En Logística,5,Cuatrimestre 5,Operaciones de Comercio Exterior
UT Altamira,Ing. En Logística,5,Cuatrimestre 5,Proyecto Integrador II
UT Altamira,Ing. En Logística,5,Cuatrimestre 5,TIC'S Aplicadas a la Cadena de Suministros
UT Altamira,Ing. En Logística,6,VI (Estadía TSU),ESTADÍA TSU EN CADENA DE SUMINISTRO
UT Altamira,Ing. En Logística,7,Cuatrimestre 7,Administración de Operaciones Logísticas
UT Altamira,Ing. En Logística,7,Cuatrimestre 7,Diseño de Redes Logísticas
UT Altamira,Ing. En Logística,7,Cuatrimestre 7,Habilidades Gerenciales
UT Altamira,Ing. En Logística,7,Cuatrimestre 7,Inglés VI
UT Altamira,Ing. En Logística,7,Cuatrimestre 7,Investigación de Operación Logísticas
UT Altamira,Ing. En Logística,7,Cuatrimestre 7,Logística de Producción
UT Altamira,Ing. En Logística,7,Cuatrimestre 7,Optativa I
UT Altamira,Ing. En Logística,8,Cuatrimestre 8,Gestión del Comercio Internacional
UT Altamira,Ing. En Logística,8,Cuatrimestre 8,Inglés VII
UT Altamira,Ing. En Logística,8,Cuatrimestre 8,Optativa II (Economía Circular)
UT Altamira,Ing. En Logística,8,Cuatrimestre 8,Planeación y Organización del Trabajo
UT Altamira,Ing. En Logística,8,Cuatrimestre 8,Seguridad de la Cadena de Suministros
UT Altamira,Ing. En Logística,8,Cuatrimestre 8,Simulación de Procesos Logísticos
UT Altamira,Ing. En Logística,9,Cuatrimestre 9,Análisis de Datos para la Toma de Decisiones
UT Altamira,Ing. En Logística,9,Cuatrimestre 9,Ingeniería Económica
UT Altamira,Ing. En Logística,9,Cuatrimestre 9,Inglés VIII
UT Altamira,Ing. En Logística,9,Cuatrimestre 9,Optativa III
UT Altamira,Ing. En Logística,9,Cuatrimestre 9,Planeación Estratégica
UT Altamira,Ing. En Logística,9,Cuatrimestre 9,Proyecto Integrador III
UT Altamira,Ing. En Logística,9,Cuatrimestre 9,Tendencia de la Cadena de Suministros
UT Altamira,Ing. En Logística,10,X (Estadía Ingeniería),ESTADÍA LICENCIATURA EN INGENIERÍA EN LOGÍSTICA
UT Altamira,Ing. En Mantenimiento Industrial,1,Cuatrimestre 1,Comunicación y Habilidades Digitales
UT Altamira,Ing. En Mantenimiento Industrial,1,Cuatrimestre 1,Desarrollo Humano y Valores
UT Altamira,Ing. En Mantenimiento Industrial,1,Cuatrimestre 1,Dibujo Industrial
UT Altamira,Ing. En Mantenimiento Industrial,1,Cuatrimestre 1,Fundamentos Matemáticos
UT Altamira,Ing. En Mantenimiento Industrial,1,Cuatrimestre 1,Fundamentos de Mantenimiento
UT Altamira,Ing. En Mantenimiento Industrial,1,Cuatrimestre 1,Inglés I
UT Altamira,Ing. En Mantenimiento Industrial,1,Cuatrimestre 1,Seguridad Industrial
UT Altamira,Ing. En Mantenimiento Industrial,2,Cuatrimestre 2,Cálculo Diferencial
UT Altamira,Ing. En Mantenimiento Industrial,2,Cuatrimestre 2,Física
UT Altamira,Ing. En Mantenimiento Industrial,2,Cuatrimestre 2,Gestión del Mantenimiento
UT Altamira,Ing. En Mantenimiento Industrial,2,Cuatrimestre 2,Habilidades Socioemocionales y Manejo de Conflictos
UT Altamira,Ing. En Mantenimiento Industrial,2,Cuatrimestre 2,Inglés II
UT Altamira,Ing. En Mantenimiento Industrial,2,Cuatrimestre 2,Probabilidad y Estadística
UT Altamira,Ing. En Mantenimiento Industrial,2,Cuatrimestre 2,Termodinámica
UT Altamira,Ing. En Mantenimiento Industrial,3,Cuatrimestre 3,Cálculo Integral
UT Altamira,Ing. En Mantenimiento Industrial,3,Cuatrimestre 3,Desarrollo del Pensamiento y Toma de Decisiones
UT Altamira,Ing. En Mantenimiento Industrial,3,Cuatrimestre 3,Electrónica Analógica
UT Altamira,Ing. En Mantenimiento Industrial,3,Cuatrimestre 3,Inglés III
UT Altamira,Ing. En Mantenimiento Industrial,3,Cuatrimestre 3,Máquinas y Mecanismos
UT Altamira,Ing. En Mantenimiento Industrial,3,Cuatrimestre 3,Proyecto Integrador I
UT Altamira,Ing. En Mantenimiento Industrial,3,Cuatrimestre 3,Sistemas Eléctricos
UT Altamira,Ing. En Mantenimiento Industrial,4,Cuatrimestre 4,Automatización y Robótica
UT Altamira,Ing. En Mantenimiento Industrial,4,Cuatrimestre 4,Cálculo de Varias Variables
UT Altamira,Ing. En Mantenimiento Industrial,4,Cuatrimestre 4,Electrónica Digital
UT Altamira,Ing. En Mantenimiento Industrial,4,Cuatrimestre 4,Inglés IV
UT Altamira,Ing. En Mantenimiento Industrial,4,Cuatrimestre 4,Máquinas Eléctricas
UT Altamira,Ing. En Mantenimiento Industrial,4,Cuatrimestre 4,Sistemas Neumáticos e Hidráulicos
UT Altamira,Ing. En Mantenimiento Industrial,4,Cuatrimestre 4,Ética Profesional
UT Altamira,Ing. En Mantenimiento Industrial,5,Cuatrimestre 5,Ciencia de los Materiales
UT Altamira,Ing. En Mantenimiento Industrial,5,Cuatrimestre 5,Ecuaciones Diferenciales
UT Altamira,Ing. En Mantenimiento Industrial,5,Cuatrimestre 5,Inglés V
UT Altamira,Ing. En Mantenimiento Industrial,5,Cuatrimestre 5,Liderazgo de Equipos de Alto Desempeño
UT Altamira,Ing. En Mantenimiento Industrial,5,Cuatrimestre 5,Mantenimiento a Procesos de Manufactura
UT Altamira,Ing. En Mantenimiento Industrial,5,Cuatrimestre 5,Proyecto Integrador II
UT Altamira,Ing. En Mantenimiento Industrial,5,Cuatrimestre 5,Sistemas Térmicos e Industriales
UT Altamira,Ing. En Mantenimiento Industrial,6,VI (Estadía TSU),ESTADÍA TSU EN MANTENIMIENTO INDUSTRIAL
UT Altamira,Ing. En Mantenimiento Industrial,7,Cuatrimestre 7,Administración Estratégica para Mantenimiento
UT Altamira,Ing. En Mantenimiento Industrial,7,Cuatrimestre 7,Física para Ingeniería
UT Altamira,Ing. En Mantenimiento Industrial,7,Cuatrimestre 7,Habilidades Gerenciales
UT Altamira,Ing. En Mantenimiento Industrial,7,Cuatrimestre 7,Ingeniería Económica
UT Altamira,Ing. En Mantenimiento Industrial,7,Cuatrimestre 7,Inglés VI
UT Altamira,Ing. En Mantenimiento Industrial,7,Cuatrimestre 7,Instalaciones Eléctricas
UT Altamira,Ing. En Mantenimiento Industrial,7,Cuatrimestre 7,Métodos y Sistemas de Trabajo
UT Altamira,Ing. En Mantenimiento Industrial,7,Cuatrimestre 7,Tribología
UT Altamira,Ing. En Mantenimiento Industrial,8,Cuatrimestre 8,Ensayos Destructivos
UT Altamira,Ing. En Mantenimiento Industrial,8,Cuatrimestre 8,Inglés VII
UT Altamira,Ing. En Mantenimiento Industrial,8,Cuatrimestre 8,Mantenimiento Predictivo Mecánico
UT Altamira,Ing. En Mantenimiento Industrial,8,Cuatrimestre 8,Protocolos de Operación y Mantenimiento
UT Altamira,Ing. En Mantenimiento Industrial,8,Cuatrimestre 8,Sistemas Automatizados y Redes Industriales
UT Altamira,Ing. En Mantenimiento Industrial,8,Cuatrimestre 8,Técnicas TPM y RCM
UT Altamira,Ing. En Mantenimiento Industrial,9,Cuatrimestre 9,Ensayos No Destructivos
UT Altamira,Ing. En Mantenimiento Industrial,9,Cuatrimestre 9,Gestión Ambiental
UT Altamira,Ing. En Mantenimiento Industrial,9,Cuatrimestre 9,Gestión del Talento Humano
UT Altamira,Ing. En Mantenimiento Industrial,9,Cuatrimestre 9,Inglés VIII
UT Altamira,Ing. En Mantenimiento Industrial,9,Cuatrimestre 9,Manufactura Asistida por Computadora
UT Altamira,Ing. En Mantenimiento Industrial,9,Cuatrimestre 9,Proyecto Integrador III
UT Altamira,Ing. En Mantenimiento Industrial,9,Cuatrimestre 9,Visualización y Control de Procesos
UT Altamira,Ing. En Mantenimiento Industrial,10,X (Estadía Ingeniería),ESTADÍA LICENCIATURA EN INGENIERÍA EN MANTENIMIENTO INDUSTRIAL
UT Altamira,Ing. En Mecatrónica (Bis),0,0 (Inmersión/Propedéutico),Desarrollo Sostenible
UT Altamira,Ing. En Mecatrónica (Bis),0,0 (Inmersión/Propedéutico),Desarrollo de Competencias Globales
UT Altamira,Ing. En Mecatrónica (Bis),0,0 (Inmersión/Propedéutico),Introducción a la Lengua Inglesa
UT Altamira,Ing. En Mecatrónica (Bis),0,0 (Inmersión/Propedéutico),Tutorías BIS
UT Altamira,Ing. En Mecatrónica (Bis),1,Cuatrimestre 1,Comunicación y Habilidades Digitales
UT Altamira,Ing. En Mecatrónica (Bis),1,Cuatrimestre 1,Desarrollo Humano y Valores
UT Altamira,Ing. En Mecatrónica (Bis),1,Cuatrimestre 1,Fundamentos Matemáticos
UT Altamira,Ing. En Mecatrónica (Bis),1,Cuatrimestre 1,Inglés I
UT Altamira,Ing. En Mecatrónica (Bis),1,Cuatrimestre 1,Metodología de la Programación
UT Altamira,Ing. En Mecatrónica (Bis),1,Cuatrimestre 1,Metrología
UT Altamira,Ing. En Mecatrónica (Bis),1,Cuatrimestre 1,Procesos Industriales
UT Altamira,Ing. En Mecatrónica (Bis),2,Cuatrimestre 2,Circuitos Eléctricos
UT Altamira,Ing. En Mecatrónica (Bis),2,Cuatrimestre 2,Cálculo Diferencial
UT Altamira,Ing. En Mecatrónica (Bis),2,Cuatrimestre 2,Dibujo para Ingeniería
UT Altamira,Ing. En Mecatrónica (Bis),2,Cuatrimestre 2,Física
UT Altamira,Ing. En Mecatrónica (Bis),2,Cuatrimestre 2,Habilidades Socioemocionales y Manejo de Conflictos
UT Altamira,Ing. En Mecatrónica (Bis),2,Cuatrimestre 2,Inglés II
UT Altamira,Ing. En Mecatrónica (Bis),2,Cuatrimestre 2,Probabilidad y Estadística
UT Altamira,Ing. En Mecatrónica (Bis),3,Cuatrimestre 3,Cálculo Integral
UT Altamira,Ing. En Mecatrónica (Bis),3,Cuatrimestre 3,Desarrollo del Pensamiento y Toma de Decisiones
UT Altamira,Ing. En Mecatrónica (Bis),3,Cuatrimestre 3,Electrónica Analógica y de Potencia
UT Altamira,Ing. En Mecatrónica (Bis),3,Cuatrimestre 3,Electrónica Digital
UT Altamira,Ing. En Mecatrónica (Bis),3,Cuatrimestre 3,Elementos Mecánicos
UT Altamira,Ing. En Mecatrónica (Bis),3,Cuatrimestre 3,Inglés III
UT Altamira,Ing. En Mecatrónica (Bis),3,Cuatrimestre 3,Proyecto Integrador I
UT Altamira,Ing. En Mecatrónica (Bis),4,Cuatrimestre 4,Control de Motores Eléctricos
UT Altamira,Ing. En Mecatrónica (Bis),4,Cuatrimestre 4,Controladores Lógicos Programables
UT Altamira,Ing. En Mecatrónica (Bis),4,Cuatrimestre 4,Cálculo de Varias Variables
UT Altamira,Ing. En Mecatrónica (Bis),4,Cuatrimestre 4,Estructura y Propiedades de los Materiales
UT Altamira,Ing. En Mecatrónica (Bis),4,Cuatrimestre 4,Inglés IV
UT Altamira,Ing. En Mecatrónica (Bis),4,Cuatrimestre 4,Instrumentación Industrial
UT Altamira,Ing. En Mecatrónica (Bis),4,Cuatrimestre 4,Sistemas Neumáticos e Hidráulicos
UT Altamira,Ing. En Mecatrónica (Bis),4,Cuatrimestre 4,Ética Profesional
UT Altamira,Ing. En Mecatrónica (Bis),5,Cuatrimestre 5,Ecuaciones Diferenciales
UT Altamira,Ing. En Mecatrónica (Bis),5,Cuatrimestre 5,Implementación de Sistemas Automáticos
UT Altamira,Ing. En Mecatrónica (Bis),5,Cuatrimestre 5,Inglés V
UT Altamira,Ing. En Mecatrónica (Bis),5,Cuatrimestre 5,Liderazgo de Equipos de Alto Desempeño
UT Altamira,Ing. En Mecatrónica (Bis),5,Cuatrimestre 5,Procesos de Manufactura
UT Altamira,Ing. En Mecatrónica (Bis),5,Cuatrimestre 5,Proyecto Integrador II
UT Altamira,Ing. En Mecatrónica (Bis),6,VI (Estadía TSU),ESTADÍA TSU EN AUTOMATIZACIÓN
UT Altamira,Ing. En Mecatrónica (Bis),7,Cuatrimestre 7,Análisis de Mecanismos
UT Altamira,Ing. En Mecatrónica (Bis),7,Cuatrimestre 7,Cinemática y Dinámica de Robots
UT Altamira,Ing. En Mecatrónica (Bis),7,Cuatrimestre 7,Diseño Asistido por Computadora
UT Altamira,Ing. En Mecatrónica (Bis),7,Cuatrimestre 7,Habilidades Gerenciales
UT Altamira,Ing. En Mecatrónica (Bis),7,Cuatrimestre 7,Inglés VI
UT Altamira,Ing. En Mecatrónica (Bis),7,Cuatrimestre 7,Instrumentación Virtual
UT Altamira,Ing. En Mecatrónica (Bis),7,Cuatrimestre 7,Modelado y Simulación de Sistemas
UT Altamira,Ing. En Mecatrónica (Bis),7,Cuatrimestre 7,Sistemas Embebidos
UT Altamira,Ing. En Mecatrónica (Bis),8,Cuatrimestre 8,Control Avanzado
UT Altamira,Ing. En Mecatrónica (Bis),8,Cuatrimestre 8,Diseño Mecánico
UT Altamira,Ing. En Mecatrónica (Bis),8,Cuatrimestre 8,Diseño de Mecatrónicos
UT Altamira,Ing. En Mecatrónica (Bis),8,Cuatrimestre 8,Ingeniería de Control
